ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position
10000,simple,,Chinese 12 Bass Accordion,1,0,visible,Accordions › Chanson › Chinese 12 Bass Accordion Chinese 12 Bass Accordion ,"Accordions › Chanson › Chinese 12 Bass Accordion Chinese 12 Bass Accordion £195 A pre-owned Chinese 12 bass accordion being sold as part of our sold as seen clearance section. This entry level accordion would be ideal for a young child to start learning to play on, or as an affordable and portable second accordion for traveling with etc. Finished in a pearl red casework. A 0% interest free loan is available on this Chinese 12 Bass Accordion. Terms and conditions apply – please contact us for full details. Please note, this Chinese 12 Bass Accordion is part of our clearance section, and is therefore sold as seen with no guarantee. Don’t forget, free delivery of this excellent value for money Chinese 12 Bass Accordion to most parts of mainland UK is included in the price! Call us in our Sunningdale showroom to request further information or to buy this Chinese 12 Bass Accordion on 01344 873717, or email us at sales@theaccordionshop.co.uk Product category: Clearance Stock Brand: Chanson Colour: Red Origin: China Store: Sunningdale Tuning: Two Voice Tremolo Bass size: 12 Treble key size: 26 Voices: 2 Weight: 3.18 Kg. - 7 Lbs. Chinese 12 Bass Accordion https://theaccordionshop.co.uk/accordions/chinese-48-bass-accordion/ CONTACT US / RESERVE",,,taxable,,1,1,,0,0,,,,,1,,,195,accordions,,,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20600%20450'%3E%3C/svg%3E",,,,,,,,,0
10001,simple,,Technics SM-AC30 Midi Expander,1,0,visible,Accordions › Technics SM-AC30 Midi Expander Technics SM-AC30 Midi Expander ,"Accordions › Technics SM-AC30 Midi Expander Technics SM-AC30 Midi Expander £250 Technics SM-AC30 Midi Expander   (pre owned, clearance stock) Great ‘old school’ Technics sounds & rhythms. Good condition all round. All working fine. Includes Volume pedal + FZ-SC2 Foot Controller + Cables. Owner’s manual. Compatible with all midi accordions (including Roland). Plugs into most amplifiers via jack socket. FREE DELIVERY to mainland UK. (Call us for other destinations.) To buy this Technics SM-AC30 midi expander, or get more info, please call our Sunningdale showroom on 01344 873717 Product category: Midi & Accessories Origin: Japan Store: Sunningdale Style: Midi Technics SM-AC30 Midi Expander https://theaccordionshop.co.uk/accordions/technics-sm-ac30-midi-expander/ CONTACT US / RESERVE",,,taxable,,1,1,,0,0,,,,,1,,,250,accordions,,,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20600%20800'%3E%3C/svg%3E",,,,,,,,,0
10002,simple,,Stephanelli Anglo Concertina,1,0,visible,Accordions › Stephanelli › Stephanelli Anglo Concertina Stephanelli Anglo C,"Accordions › Stephanelli › Stephanelli Anglo Concertina Stephanelli Anglo Concertina £279 £ 224 A brand new Stephanelli Anglo Concertina. This concertina features 15 buttons on each side and would an ideal model for starting off on. This is a diatonic instrument meaning that it features a different note on the push and pull of the bellows, rather than the “English” concertina which is fully chromatic and produces the same note regardless of bellow direction, much like a piano accordion. This little Anglo concertina would be perfect for a beginner, or as a second low cost instrument for traveling with and is finished in a very attractive pearl red. A 0% interest free loan is available on this Stephanelli Anglo Concertina subject to status via the Arts Council. Terms and conditions apply – please contact us for full details. Complete with a soft cover and a one year guarantee. Don’t forget, free delivery of this Stephanelli Anglo Concertina to most parts of mainland UK is included! To request further information, or to purchase this excellent value for money Stephanelli Anglo Concertina please call us in our Sunningdale showroom on 01344 873717 oor email us at sales@theaccordionshop.co.uk Product category: Folk Instruments , New Accordions Brand: Stephanelli Colour: Red Origin: China Store: Sunningdale Style: Folk Tuning: One Voice Single Reed Bass size: 15 Treble key size: 15 Voices: 1 Weight: 0.91 Kg. - 2.6 Lbs. Stephanelli Anglo Concertina https://theaccordionshop.co.uk/accordions/stephanelli-anglo-concertina/ CONTACT US / RESERVE",,,taxable,,1,1,,0,0,,,,,1,,,279 224,accordions,,,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20600%20450'%3E%3C/svg%3E",,,,,,,,,0
10003,simple,,Bell 12 Bass Accordion,1,0,visible,Accordions › Bell › Bell 12 Bass Accordion Bell 12 Bass Accordion £295 A pr,"Accordions › Bell › Bell 12 Bass Accordion Bell 12 Bass Accordion £295 A pre-owned Bell 12 Bass Accordion. This lightweight and compact small accordion features 12 bass buttons and 25 treble keys, and would make an ideal beginner level accordion. This accordion features a two voice tremolo tuning. A 0% interest free loan is available on this Bell 12 Bass Accordion subject to status via the Arts Council. Terms and conditions apply – please contact us for full details. This Bell 12 Bass Accordion comes complete with a carrying case, shoulder straps and a one year guarantee. Don’t forget, free delivery of this excellent value for money Bell 12 Bass Accordion to most parts of mainland UK is included in the price! Call us in our Sunningdale showroom to request further information on this Bell 12 Bass Accordion, or to buy this accordion on 01344 873717 or you can email us at sales@theaccordionshop.co.uk Product category: Preowned Accordions Brand: Bell Colour: Red Origin: Germany Store: Sunningdale Tuning: Two Voice Tremolo Bass size: 12 Treble key size: 25 Voices: 2 Weight: 3.18 Kg. - 7.7 Lbs. Bell 12 Bass Accordion https://theaccordionshop.co.uk/accordions/bell-12-bass-accordion-2/ CONTACT US / RESERVE",,,taxable,,1,1,,0,0,,,,,1,,,295,accordions,,,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20600%20473'%3E%3C/svg%3E",,,,,,,,,0
10004,simple,,Chanson 12 Bass Accordion,1,0,visible,Accordions › Chanson › Chanson 12 Bass Accordion Chanson 12 Bass Accordion ,"Accordions › Chanson › Chanson 12 Bass Accordion Chanson 12 Bass Accordion £295 This extremely small and lightweight pre-owned Chanson 12 bass accordion has six bass buttons, six major chord buttons and twenty five treble keys. It is lightweight and compact. Ideal as a beginners instrument. This ultra lightweight and compact accordion is a popular model for young children to learn on, and would be an ideal first accordion. Finished in an attractive pearl effect red casework. You can add a ‘Piano Accordion Total Beginners’ book for £10.00. A 0% interest free loan is available on this Chanson 12 Bass Accordion subject to status via the Arts Council. Terms and conditions apply – please contact us for full details. This Chanson 12 Bass Accordion comes complete with a carrying case, shoulder straps and a 1 year guarantee. Don’t forget, free delivery of this Chanson 12 Bass Accordion to most parts of mainland UK is included in the price! To request further information, or to purchase this excellent value for money Chanson 12 Bass Accordion, please call us in our Sunningdale showroom on 01344 873717 or email us at sales@theaccordionshop.co.uk Product category: New Accordions Brand: Chanson Colour: Red Origin: China Store: Sunningdale Tuning: Two Voice Tremolo Bass size: 12 Treble key size: 25 Voices: 2 Weight: 4.08 Kg. - 9.3 Lbs. Chanson 12 Bass Accordion https://theaccordionshop.co.uk/accordions/chanson-12-bass/ CONTACT US / RESERVE",,,taxable,,1,1,,0,0,,,,,1,,,295,accordions,,,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20600%20450'%3E%3C/svg%3E",,,,,,,,,0
10005,simple,,Chanson 24 Bass Accordion,1,0,visible,Accordions › Chanson › Chanson 24 Bass Accordion Chanson 24 Bass Accordion ,"Accordions › Chanson › Chanson 24 Bass Accordion Chanson 24 Bass Accordion £295 A pre-owned Chanson 24 Bass Accordion. This compact and lightweight student model accordion would be ideal for starting to learn to play on, or as a smaller second accordion for travelling with or using for folk sessions etc. The instrument features a two voice treble tuning, making it ideal for most styles of playing and is available in an attractive gloss black casework and presented for sale in good all round general condition. A 0% interest free loan is available on this Chanson 24 Bass Accordion subject to status via the Arts Council. Terms and conditions apply – please contact us for full details. This Chanson 24 Bass Accordion comes complete with carrying case, shoulder straps and a one year guarantee. Don’t forget, free delivery of this Chanson 24 Bass Accordion to most parts of mainland UK is included in the price! To request further information, or to purchase this excellent value for money Chanson 24 bass accordion, please call us in our Sunningdale showroom on 01344 873717 or email us at sales@theaccordionshop.co.uk Product category: Preowned Accordions Brand: Chanson Colour: Black Origin: China Store: Sunningdale Tuning: Two Voice Tremolo Bass size: 24 Voices: 2 Weight: 0 Kg. - TBC Lbs. Chanson 24 Bass Accordion https://theaccordionshop.co.uk/accordions/chanson-24-bass-accordion/ CONTACT US / RESERVE",,,taxable,,1,1,,0,0,,,,,1,,,295,accordions,,,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20600%20473'%3E%3C/svg%3E",,,,,,,,,0
10006,simple,,Parrot 48 Bass 34 Key Accordion,1,0,visible,Accordions › Parrot › Parrot 48 Bass 34 Key Accordion Parrot 48 Bass 34 Key,"Accordions › Parrot › Parrot 48 Bass 34 Key Accordion Parrot 48 Bass 34 Key Accordion £295 A pre-owned Parrot 48 Bass 34 Key Accordion. This lightweight and compact accordion, is a student model accordion built in China, and features a rare four row 48 bass layout, which allows for a greater variety of bass keys, albeit at the expense of the seventh and diminished rows, than is usually found on the more common six row 48 bass instruments. This accordion also boasts an extended treble range, as it is fitted with 34 keys, rather than the usual 26. The Parrot 48 Bass 34 Key Accordion is tuned to a bright three voice tremolo, which also makes it more versatile than the usual two voice tunings. This particular pre-owned example is finished in a pearl red casework. Please note, this accordion does have a few issues, although it still plays, hence is part of our clearence section and is sold as seen without any kind of guarantee. A 0% interest free loan is available on this Parrot 48 Bass 34 Key Accordion subject to status via the Arts Council. Terms and conditions apply – please contact us for full details. The Parrot 48 Bass 34 Key Accordion comes complete with a carrying case and shoulder straps. Don’t forget, free delivery of this Parrot 48 Bass 34 Key Accordion to most parts of mainland UK is included in the price! To request further information, or to purchase this Parrot 48 Bass 34 Key Accordion, please call us in our Sunningdale showroom on 01344 873717 or email us at sales@theaccordionshop.co.uk Product category: Preowned Accordions , Clearance Stock Brand: Parrot Colour: Red Origin: China Store: Sunningdale Tuning: Three Voice Tremolo Bass size: 48 Treble key size: 34 Voices: 3 Weight: 7.26 Kg. - 16.7 Lbs. Parrot 48 Bass 34 Key Accordion https://theaccordionshop.co.uk/accordions/parrot-48-bass-34-key-accordion/ CONTACT US / RESERVE",,,taxable,,1,1,,0,0,,,,,1,,,295,accordions,,,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20600%20450'%3E%3C/svg%3E",,,,,,,,,0
10007,simple,,Sonola 120 Bass Compact Accordion (Repair Project),1,0,visible,Accordions › Sonola › Sonola 120 Bass Compact Accordion (Repair Project) So,"Accordions › Sonola › Sonola 120 Bass Compact Accordion (Repair Project) Sonola 120 Bass Compact Accordion (Repair Project) £295 Sonola 120 bass compact accordion (repair project) A very good quality 1960s Italian made accordion which is playable but requires some work to bring it back to it’s best. It has 120 bass/chord buttons, 41 piano keys (17 inch keyboard – a full size accordion  is around 19 inches) Three sets of treble reeds. All the reeds are playing but will benefit from some tuning, especially the right hand middle pitch reeds M + M+. The bass & chord reeds are pretty good for the age of the accordion. Most of the leather reed valves are in good working order & lying flat against the reed plates. Ideally all reeds would be rewaxed & revalved but this could be done at a later date if required. 1 x metal bellow corner is missing (not leaking air) The bass coupler is not working properly, a full repair for this would mean removing the bass action for access, but a temporary easy repair can be made to the mechanism near the bass reed blocks. There is a piece of decorative plastic moulding missing from around the treble registers. Some ‘Sonola’ name letters missing. Comes with case (a bit tatty) & padded shoulder straps. FREE UK mainland delivery. We would advise that you need some experience in accordion repair before attempting something of this quality. If you have any questions please call the Sunningdale shop on 01344 873717 Product category: Clearance Stock Brand: Sonola Colour: Black Origin: Italy Store: Sunningdale Bass size: 120 Treble key size: 41 Voices: 3 Weight: 8.16 Kg. - 18.5 Lbs. Sonola 120 Bass Compact Accordion (Repair Project) https://theaccordionshop.co.uk/accordions/sonola-120-bass-compact-accordion-repair-project/ CONTACT US / RESERVE",,,taxable,,1,1,,0,0,,,,,1,,,295,accordions,,,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20600%20450'%3E%3C/svg%3E",,,,,,,,,0
10008,simple,,Stella 32 Bass Accordion,1,0,visible,Accordions › Other › Stella 32 Bass Accordion Stella 32 Bass Accordion £295,"Accordions › Other › Stella 32 Bass Accordion Stella 32 Bass Accordion £295 A pre-owned Stella 32 Bass Accordion, spares of repair. Once repaired, this extremely compact and lightweight Chinese built student model accordion would make an ideal instrument for a young child, or indeed a very small adult, to start learning to play on. It features a fixed two voice tremolo tuning, making it ideal for most styles of music, and is finished in an attractive pearl red casework. It does however, have a few issues that at the moment we simply don’t have the time to fix, hence this Stella 32 Bass Accordion is being sold as as seen with no guarantee for an extremely low price. This accordion would be ideal for somebody fairly practical who would be able to restore it into a more playable condition. Please contact us for further details of what work would need doing. No guarantee is offered or implied, and the accordion is sold as seen. Free delivery to most parts of mainland Uk is included in the price. To request further information on the issues that the accordion has, or what might need doing, or to purchase this Stella 32 Bass Accordion please call us in our Sunningdale showroom on 01344 873717 or email us at sales@theaccordionshop.co.uk Product category: Clearance Stock Brand: Other Colour: Red Origin: China Store: Sunningdale Tuning: Two Voice Tremolo Bass size: 32 Treble key size: 30 Voices: 2 Weight: 5.44 Kg. - 12.2 Lbs. Stella 32 Bass Accordion https://theaccordionshop.co.uk/accordions/stella-32-bass-accordion/ CONTACT US / RESERVE",,,taxable,,1,1,,0,0,,,,,1,,,295,accordions,,,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20600%20450'%3E%3C/svg%3E",,,,,,,,,0
10009,simple,,Weltmeister 80 Bass Accordion,1,0,visible,Accordions › Weltmeister › Weltmeister 80 Bass Accordion Weltmeister 80 Bas,"Accordions › Weltmeister › Weltmeister 80 Bass Accordion Weltmeister 80 Bass Accordion £295 A pre-owned German built Weltmeister 80 Bass Accordion, sold as seen as part of our clearance section. This mid size accordion is an older style model and features 80 bass buttons, 34 treble keys is tuned to a three voice tremolo tuning. This Weltmeister 80 Bass Accordion loses out on the diminished row of buttons, but gains several more available accidental keys to play in. Finished in an attractive pearl grey case. Please note, that due to its age, this accordion does have a few issues, and is sold as seen without any kind of guarantee as part of our clearance section as “spares or repairs”. Please contact us for further information about what exactly needs doing. A 0% interest free loan is available on this Bell 80 Bass Accordion subject to status via the Arts Council. Terms and conditions apply – please contact us for full details. This Weltmeister 80 Bass Accordion complete with a carrying case and shoulder straps. Don’t forget, free delivery of this Weltmeister 80 Bass Accordion to most parts of mainland UK is included in the price! To request further information, or to purchase this excellent value for money Weltmeister 80 Bass Accordion please call us in our Sunningdale showroom on 01344 873717 or email us at sales@theaccordionshop.co.uk Product category: Preowned Accordions , Clearance Stock Brand: Weltmeister Colour: Grey Origin: Germany Store: Sunningdale Tuning: Three Voice Tremolo Bass size: 80 Treble key size: 34 Voices: 3 Weight: 8.16 Kg. - 18.7 Lbs. Weltmeister 80 Bass Accordion https://theaccordionshop.co.uk/accordions/weltmeister-80-bass-accordion-2/ CONTACT US / RESERVE",,,taxable,,1,1,,0,0,,,,,1,,,295,accordions,,,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20600%20450'%3E%3C/svg%3E",,,,,,,,,0
