ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position
3453,simple,,2024 1oz Gold Maple Leaf Coin (King Charles),1,0,visible,"1 - 9: $3,327.27 10 - 24: $3,327.27 25 - 49: $3,327.27 50 - ∞: $3,327.27","1 - 9: $3,327.27 10 - 24: $3,327.27 25 - 49: $3,327.27 50 - ∞: $3,327.27",,,taxable,,1,1,,0,0,,,,,1,,,"3,327.03",Gold Stock,,,https://goldstockcanada.com/storage/products/January2024/GMQ2SMpOmxbDNtaolEdY.jpg,,,,,,,,,0
3454,simple,,2024 1oz Silver Maple Leaf Coin (King Charles),1,0,visible,1 - 9: $50.71 10 - 24: $50.71 25 - 49: $50.71 50 - ∞: $50.71,1 - 9: $50.71 10 - 24: $50.71 25 - 49: $50.71 50 - ∞: $50.71,,,taxable,,1,1,,0,0,,,,,1,,,50.71,Gold Stock,,,https://goldstockcanada.com/storage/products/January2024/CieQ7tHrouJ4LoSX3aKM.jpg,,,,,,,,,0
2360,simple,,1oz Gold Maple Leaf Coin (99.99%),1,0,visible,"1 - 9: $3,269.96 10 - 24: $3,269.96 25 - 49: $3,269.96 50 - ∞: $3,269.96","1 - 9: $3,269.96 10 - 24: $3,269.96 25 - 49: $3,269.96 50 - ∞: $3,269.96",,,taxable,,1,1,,0,0,,,,,1,,,"3,269.72",Gold Stock,,,https://goldstockcanada.com/storage/products/current/1oz-gold-maple-leaf-coin-9999-0.jpg,,,,,,,,,0
3447,simple,,1oz Gold Maple Leaf Coin 2022,1,0,visible,"1 - 9: $3,279.51 10 - 24: $3,279.51 25 - 49: $3,279.51 50 - ∞: $3,279.51","1 - 9: $3,279.51 10 - 24: $3,279.51 25 - 49: $3,279.51 50 - ∞: $3,279.51",,,taxable,,1,1,,0,0,,,,,1,,,"3,279.27",Gold Stock,,,https://goldstockcanada.com/storage/products/current/1oz-gold-maple-leaf-coin-2022-0.jpg,,,,,,,,,0
3450,simple,,1oz Gold OMC Bar,1,0,visible,"1 - 9: $3,247.67 10 - 24: $3,247.67 25 - 49: $3,247.67 50 - ∞: $3,247.67","1 - 9: $3,247.67 10 - 24: $3,247.67 25 - 49: $3,247.67 50 - ∞: $3,247.67",,,taxable,,1,1,,0,0,,,,,1,,,"3,247.43",Gold Stock,,,https://goldstockcanada.com/storage/products/February2024/AOwYhhCAzpeGVmtgxsFh.jpeg,,,,,,,,,0
2363,simple,,1oz Silver Maple Leaf Coin (99.99%),1,0,visible,1 - 9: $47.47 10 - 24: $47.47 25 - 49: $47.47 50 - ∞: $47.47,1 - 9: $47.47 10 - 24: $47.47 25 - 49: $47.47 50 - ∞: $47.47,,,taxable,,1,1,,0,0,,,,,1,,,47.46,Gold Stock,,,https://goldstockcanada.com/storage/products/current/1oz-silver-maple-leaf-coin-9999-0.jpg,,,,,,,,,0
2368,simple,,1oz Palladium Maple Leaf Coin,1,0,visible,"1 - 9: $1,423.97 10 - 24: $1,423.97 25 - 49: $1,423.97 50 - ∞: $1,423.97","1 - 9: $1,423.97 10 - 24: $1,423.97 25 - 49: $1,423.97 50 - ∞: $1,423.97",,,taxable,,1,1,,0,0,,,,,1,,,"1,423.86",Gold Stock,,,https://goldstockcanada.com/storage/products/current/1oz-palladium-maple-leaf-coin-0.jpg,,,,,,,,,0
2477,simple,,1 Kilo Gold Bar,1,0,visible,"1 - 9: $103,900.83 10 - 24: $103,900.83 25 - 49: $103,900.83 50 - ∞: $103,9","1 - 9: $103,900.83 10 - 24: $103,900.83 25 - 49: $103,900.83 50 - ∞: $103,900.83",,,taxable,,1,1,,0,0,,,,,1,,,"103,893.23",Gold Stock,,,https://goldstockcanada.com/storage/products/current/1-kilo-gold-bar-0.jpg,,,,,,,,,0
3451,simple,,1oz platinum OMC Bar,1,0,visible,"1 - 9: $1,476.68 10 - 24: $1,476.68 25 - 49: $1,476.68 50 - ∞: $1,476.68","1 - 9: $1,476.68 10 - 24: $1,476.68 25 - 49: $1,476.68 50 - ∞: $1,476.68",,,taxable,,1,1,,0,0,,,,,1,,,"1,476.57",Gold Stock,,,https://goldstockcanada.com/storage/products/October2023/1GflaiHlSK9dPTITrPW0.jpeg,,,,,,,,,0
2468,simple,,100oz Royal Canadian Mint Silver Bar,1,0,visible,"1 - 9: $4,340.88 10 - 24: $4,340.88 25 - 49: $4,340.88 50 - ∞: $4,340.88","1 - 9: $4,340.88 10 - 24: $4,340.88 25 - 49: $4,340.88 50 - ∞: $4,340.88",,,taxable,,1,1,,0,0,,,,,1,,,"4,340.56",Gold Stock,,,https://goldstockcanada.com/storage/products/current/100oz-royal-canadian-mint-silver-bar-0.jpg,,,,,,,,,0
